OID,DQCMAINTRANSOID,SLIPNO,DISKNO,FACODE,OPERATIONOID,OPERATIONNAME,PDITEMOID,PDITEMNAME,SPITEMOID,SPITEMNAME,STDPARAMREPORTOID,STDPARAMREPORTNAME,QCCHECKSHEETOID,DQCCHECKSHEETVERSIONOID,QCCHECKSHEETNAME,DISPLAYTYPE,QCSTDPARAMOID,QCSTDPARAMNAME,HEADERNAME,HEADERVALUE,PARAMNAME,PARAMVALUE,PARAMRANK,PROFILEVALUE,CORRELATIONVALUE,PARAMJUDGE,DISKJUDGE,JUDGMENT,PDDATE,QCDATE,QCMACHINENO,QCROUND,PDSHIFT,PDTIME,QCSHIFT,PDPROCESS,QCPROCESS,SPINDLENO,NGTYPE,UPDATEBY,LASTUPDATE,PDMACHINENO,CONTROLLOTNO,QCTERMINAL,QCIP_ADDRESS,MATERIALLOTNO,MAXPOLISHROUND,STARTTIME,ENDTIME,LOADTIME,UNLOADTIME,INPUTQTY,OUTPUTQTY,NGQTY,PDTERMINAL,PDIP_ADDRESS,PDLASTUPDATE,PDUPDATEBY,ISMAXQCROUND,QCWORKEROID,STDPARAMNICKNAME,NGTYPENAME,BOXORDER,MCEVENTLIST,MCCONSUMPTIONLIST,SPDISK1,SPDISK2,SPDISK3,WORKERSHIFT,POLISHTIME,POLISHTIME_ACCU,PDMARKNAME,PARAMETERSPEC_OID,CUL,SUL,UL,ARUL,ARLL,LL,SLL,CLL,TARGET,CALFUNCTION,ALARM_JUDGE,BRUSHINFO,POLISHRATE,VALUEVIEW,CALCULATEBUDO,RANKIDSIZE,ISRECHECK,ISREPLACECHECK,STOCKREMOVAL,QCMEASUREDTIME,MCLINE,CUS_CORRELATION_VALUE,SHIPLOT,SHIPDATE,QCSTOCKTIME,MC_2P,MCLINE_2P,MCEVENTLIST_2P,MCCONSUMPTIONLIST_2P,PDPROCESS_2P,GROUPITEMOID,GROUPITEMNAME,DATE2P,SHIFT2P,DS_1P_THKDIFF,MVARLL,MVARUL,STDPARAMTYPEOID,STDPARAMTYPENAME,PARAMTYPEVALUE,GENERALREPORTOID,GENERALREPORTNAME,CUSTOMERCORRELATION,NGUSL,NGLSL,NGUCL,NGLCL,BATCHNO,BATCHQTY,BATCHTYPE,BATCHSEQ,MAINSLIPNO
38D46BDE1A350308E063AC19062A0DA6,38D4D010FEC00370E063AC19062AAFE1,561S944582,1,1,500,PP,,,9e3af8f4-9963-4918-998b-25560a816ddf,GG597B-LG,B9754015A40B0278E053AC190628209E,PP Thickness Min Disk,913B723B81810266E053AC190628790E,B9753FDB012A01F2E053AC190628FF7C,PP THICKNESS DATA SHEET,NUMERICTEXTBOX,58b8d003-bdd5-4573-a53e-7ed7a5dedb6e,PP THICKNESS MIN DISK,,,PP THICKNESS MIN DISK,0.49989,,,0.49989,OK,OK,OK,20250701,20250701,LAZER THICKNESS LKG#317,1,DAY,742,DAY,1,1,,,HY20171152,2025-07-01 08:12:15,1PL-3A18,FUSO,VII-USTN-04,172.19.21.66,F24EWX-164M-1-1,1,742,806,742,806,50,50,0,,,2025-07-01 08:11:12,SYSTEM,1,HY20171152,PP TN Min Disk,,11,,PAD LIFE(H)=03|PAD LIFE(M)=23|PAD LIFE(BATCH)=3272|STOP TIME=0009|CR TIME=0155|PAD LOT=P510085|PAD TYPE=NP359|SLURRY LOT=H1091B|SLURRY TYPE=AR35KTE|SLURRY LIFE=8|FILTER LIFE=503|BRUSH TYPE=2|BRUSH LIFE=5869|BRUSH TIME=700|DRESSER TYPE=B6|DRESSER SET=40|DRESSER LIFE=1012|DRESSER TIME=200|CARRIER IN(B)=130|CARRIER OUT(B)=302|CARRIER IN SET=E44848GD|CARRIER OUT SET=S451584GD|ETCHING LIFE=41|SLURRY FLOW RATE=2.01|WEIGHT=700|POLISHING PROGRAM=1|SPEED UPPER=19|SPEED SUN=21843|SPEED INTER=7020|RO TEMP DRESSING=23.5|DRESSING PRO=16|WEIGHT DRESSING=60|LINEAR SCALE=-0.574|SUN GEAR LIFE=83|INNER GEAR LIFE=83|IP TOOL=8.7.12.15|TOTAL STOP TIME=3.9,,,,C,20.1,20.1,,,,,,,,,,,,,,,1.09,0.49989,1,,,,,2025-07-01 08:11:23,10,,,,000,,,,,,b1a1e6e3-16b4-43d0-871c-61abd1c6cd6b,H10-GG597B,,,0.0000,,,,,,,,,,,,,,0,,0,
38D46BDE1A370308E063AC19062A0DA6,38D4D010FEC00370E063AC19062AAFE1,561S944582,2,1,500,PP,,,9e3af8f4-9963-4918-998b-25560a816ddf,GG597B-LG,913B72334F6E026CE053AC1906284579,PP Polishing Rate,913B723B81810266E053AC190628790E,B9753FDB012A01F2E053AC190628FF7C,PP THICKNESS DATA SHEET,NUMERICTEXTBOX,1abbd583-5e83-48cd-9e49-dd2ffaccb998,PP POLISHING RATE,,,PP POLISHING RATE,1.09,,,1.09,OK,OK,OK,20250701,20250701,LAZER THICKNESS LKG#317,1,DAY,742,DAY,1,1,,,HY20171152,2025-07-01 08:12:15,1PL-3A18,FUSO,VII-USTN-04,172.19.21.66,F24EWX-164M-1-1,1,742,806,742,806,50,50,0,,,2025-07-01 08:11:12,SYSTEM,1,HY20171152,PP P_Rate,,7,,PAD LIFE(H)=03|PAD LIFE(M)=23|PAD LIFE(BATCH)=3272|STOP TIME=0009|CR TIME=0155|PAD LOT=P510085|PAD TYPE=NP359|SLURRY LOT=H1091B|SLURRY TYPE=AR35KTE|SLURRY LIFE=8|FILTER LIFE=503|BRUSH TYPE=2|BRUSH LIFE=5869|BRUSH TIME=700|DRESSER TYPE=B6|DRESSER SET=40|DRESSER LIFE=1012|DRESSER TIME=200|CARRIER IN(B)=130|CARRIER OUT(B)=302|CARRIER IN SET=E44848GD|CARRIER OUT SET=S451584GD|ETCHING LIFE=41|SLURRY FLOW RATE=2.01|WEIGHT=700|POLISHING PROGRAM=1|SPEED UPPER=19|SPEED SUN=21843|SPEED INTER=7020|RO TEMP DRESSING=23.5|DRESSING PRO=16|WEIGHT DRESSING=60|LINEAR SCALE=-0.574|SUN GEAR LIFE=83|INNER GEAR LIFE=83|IP TOOL=8.7.12.15|TOTAL STOP TIME=3.9,,,,C,20.1,20.1,,372F890AA85D02B6E063AC19062A4A8F,,,,1.6,0.75,0.6,,,,,0.0,,1.09,1.09,1,,,,,2025-07-01 08:11:23,10,,,,000,,,,,,b1a1e6e3-16b4-43d0-871c-61abd1c6cd6b,H10-GG597B,,,0.0000,,,,,,,,,0.0,,0.0,0.0,,0,,0,
38D46BDE1A390308E063AC19062A0DA6,38D4D010FEC00370E063AC19062AAFE1,561S944582,2,1,500,PP,,,9e3af8f4-9963-4918-998b-25560a816ddf,GG597B-LG,B473FCA5A4540110E053AC190628505D,PP New flow sorting thickness,913B723B81810266E053AC190628790E,B9753FDB012A01F2E053AC190628FF7C,PP THICKNESS DATA SHEET,NUMERICTEXTBOX,e4f353df-b08a-4a2b-b496-0862cbdc1527,PP NEW FLOW SORTING THICKNESS,,,PP NEW FLOW SORTING THICKNESS,SKIP,,,SKIP,OK,OK,OK,20250701,20250701,LAZER THICKNESS LKG#317,1,DAY,742,DAY,1,1,,,HY20171152,2025-07-01 08:12:15,1PL-3A18,FUSO,VII-USTN-04,172.19.21.66,F24EWX-164M-1-1,1,742,806,742,806,50,50,0,,,2025-07-01 08:11:12,SYSTEM,1,HY20171152,PP New flow sorting TN,,8,,PAD LIFE(H)=03|PAD LIFE(M)=23|PAD LIFE(BATCH)=3272|STOP TIME=0009|CR TIME=0155|PAD LOT=P510085|PAD TYPE=NP359|SLURRY LOT=H1091B|SLURRY TYPE=AR35KTE|SLURRY LIFE=8|FILTER LIFE=503|BRUSH TYPE=2|BRUSH LIFE=5869|BRUSH TIME=700|DRESSER TYPE=B6|DRESSER SET=40|DRESSER LIFE=1012|DRESSER TIME=200|CARRIER IN(B)=130|CARRIER OUT(B)=302|CARRIER IN SET=E44848GD|CARRIER OUT SET=S451584GD|ETCHING LIFE=41|SLURRY FLOW RATE=2.01|WEIGHT=700|POLISHING PROGRAM=1|SPEED UPPER=19|SPEED SUN=21843|SPEED INTER=7020|RO TEMP DRESSING=23.5|DRESSING PRO=16|WEIGHT DRESSING=60|LINEAR SCALE=-0.574|SUN GEAR LIFE=83|INNER GEAR LIFE=83|IP TOOL=8.7.12.15|TOTAL STOP TIME=3.9,,,,C,20.1,20.1,,,,,,,,,,,,,,,1.09,SKIP,1,,,,,2025-07-01 08:11:23,10,,,,000,,,,,,b1a1e6e3-16b4-43d0-871c-61abd1c6cd6b,H10-GG597B,,,0.0000,,,,,,,,,,,,,,0,,0,
38D46BDE1A3B0308E063AC19062A0DA6,38D4D010FEC00370E063AC19062AAFE1,561S944582,2,1,500,PP,,,9e3af8f4-9963-4918-998b-25560a816ddf,GG597B-LG,A50BB720BF8D016CE053AC190628A178,PP Repolish Cause,913B723B81810266E053AC190628790E,B9753FDB012A01F2E053AC190628FF7C,PP THICKNESS DATA SHEET,COMBOBOX,E0B5E9876BE64F8382ABCF90B0C77CCA,PP REPOLISH CAUSE,,,PP REPOLISH CAUSE,O,,,O,OK,OK,OK,20250701,20250701,LAZER THICKNESS LKG#317,1,DAY,742,DAY,1,1,,,HY20171152,2025-07-01 08:12:15,1PL-3A18,FUSO,VII-USTN-04,172.19.21.66,F24EWX-164M-1-1,1,742,806,742,806,50,50,0,,,2025-07-01 08:11:12,SYSTEM,1,HY20171152,PP Cause,,4,,PAD LIFE(H)=03|PAD LIFE(M)=23|PAD LIFE(BATCH)=3272|STOP TIME=0009|CR TIME=0155|PAD LOT=P510085|PAD TYPE=NP359|SLURRY LOT=H1091B|SLURRY TYPE=AR35KTE|SLURRY LIFE=8|FILTER LIFE=503|BRUSH TYPE=2|BRUSH LIFE=5869|BRUSH TIME=700|DRESSER TYPE=B6|DRESSER SET=40|DRESSER LIFE=1012|DRESSER TIME=200|CARRIER IN(B)=130|CARRIER OUT(B)=302|CARRIER IN SET=E44848GD|CARRIER OUT SET=S451584GD|ETCHING LIFE=41|SLURRY FLOW RATE=2.01|WEIGHT=700|POLISHING PROGRAM=1|SPEED UPPER=19|SPEED SUN=21843|SPEED INTER=7020|RO TEMP DRESSING=23.5|DRESSING PRO=16|WEIGHT DRESSING=60|LINEAR SCALE=-0.574|SUN GEAR LIFE=83|INNER GEAR LIFE=83|IP TOOL=8.7.12.15|TOTAL STOP TIME=3.9,,,,C,20.1,20.1,,,,,,,,,,,,,,,1.09,O,1,,,,,2025-07-01 08:11:23,10,,,,000,,,,,,b1a1e6e3-16b4-43d0-871c-61abd1c6cd6b,H10-GG597B,,,0.0000,,,,,,,,,,,,,,0,,0,
38D46BDE1A3D0308E063AC19062A0DA6,38D4D010FEC00370E063AC19062AAFE1,561S944582,2,1,500,PP,,,9e3af8f4-9963-4918-998b-25560a816ddf,GG597B-LG,913B72334F76026CE053AC1906284579,PP Thickness Before,913B723B81810266E053AC190628790E,B9753FDB012A01F2E053AC190628FF7C,PP THICKNESS DATA SHEET,NUMERICTEXTBOX,CA6E25AB446242DF8B2B66E86B181C11,PP THICKNESS BEFORE,,,PP THICKNESS BEFORE,0.522,,,0.522,OK,OK,OK,20250701,20250701,LAZER THICKNESS LKG#317,1,DAY,742,DAY,1,1,,,HY20171152,2025-07-01 08:12:15,1PL-3A18,FUSO,VII-USTN-04,172.19.21.66,F24EWX-164M-1-1,1,742,806,742,806,50,50,0,,,2025-07-01 08:11:12,SYSTEM,1,HY20171152,PP TH_BF,,1,,PAD LIFE(H)=03|PAD LIFE(M)=23|PAD LIFE(BATCH)=3272|STOP TIME=0009|CR TIME=0155|PAD LOT=P510085|PAD TYPE=NP359|SLURRY LOT=H1091B|SLURRY TYPE=AR35KTE|SLURRY LIFE=8|FILTER LIFE=503|BRUSH TYPE=2|BRUSH LIFE=5869|BRUSH TIME=700|DRESSER TYPE=B6|DRESSER SET=40|DRESSER LIFE=1012|DRESSER TIME=200|CARRIER IN(B)=130|CARRIER OUT(B)=302|CARRIER IN SET=E44848GD|CARRIER OUT SET=S451584GD|ETCHING LIFE=41|SLURRY FLOW RATE=2.01|WEIGHT=700|POLISHING PROGRAM=1|SPEED UPPER=19|SPEED SUN=21843|SPEED INTER=7020|RO TEMP DRESSING=23.5|DRESSING PRO=16|WEIGHT DRESSING=60|LINEAR SCALE=-0.574|SUN GEAR LIFE=83|INNER GEAR LIFE=83|IP TOOL=8.7.12.15|TOTAL STOP TIME=3.9,,,,C,20.1,20.1,,C5A5237E5DFA013AE053AC190628EDCA,,,,0.529,0.515,,,,0.522,,0.0,,1.09,0.522,1,,,,,2025-07-01 08:11:23,10,,,,000,,,,,,b1a1e6e3-16b4-43d0-871c-61abd1c6cd6b,H10-GG597B,,,0.0000,,,,,,,,,0.0,,0.0,0.0,,0,,0,
38D46BDE1ADC0308E063AC19062A0DA6,38D4D010FF190370E063AC19062AAFE1,561S960968,1,1,500,PP,,,e8c3d9ef-095e-4323-89cf-4ea6ef3debe4,GO597B-D,B9753BACC3F602BCE053AC1906283407,PP Thickness Max Disk,B06FC653145C01F4E053AC190628ACED,B97541409F0801F2E053AC190628FF7C,PP THICKNESS DATA SHEET,NUMERICTEXTBOX,b3ae6e6b-b982-4be4-835e-f66706f90269,PP THICKNESS MAX DISK,,,PP THICKNESS MAX DISK,0.49846,,,0.49846,OK,OK,OK,20250701,20250701,LAZER THICKNESS LKG#319,1,DAY,736,DAY,1,1,,,HY20180919,2025-07-01 08:12:15,1PL-3406,FUSO,VII-LSTN-19,172.19.21.139,H30006E1562301-1-1,1,736,805,736,805,48,48,0,,,2025-07-01 08:12:02,SYSTEM,1,HY20180919,PP TN Max Disk,,10,,PAD LIFE(H)=17|PAD LIFE(M)=24|PAD LIFE(BATCH)=3164|STOP TIME=0020|CR TIME=0005|PAD LOT=P510085|PAD TYPE=NP359|SLURRY LOT=GZ141B|SLURRY TYPE=AR35KTE|SLURRY LIFE=8|FILTER LIFE=162|BRUSH TYPE=2|BRUSH LIFE=17090|BRUSH TIME=700|DRESSER TYPE=PL|DRESSER SET=26|DRESSER LIFE=18460|DRESSER TIME=600|CARRIER IN(B)=135|CARRIER OUT(B)=1962|CARRIER IN SET=E469990AB|CARRIER OUT SET=S451326OA|ETCHING LIFE=44|SLURRY FLOW RATE=2.01|WEIGHT=700|POLISHING PROGRAM=1|SPEED UPPER=19|SPEED SUN=21843|SPEED INTER=7020|RO TEMPERATURE=23.6|RO TEMP DRESSING=23.2|DRESSING PRO=16|WEIGHT DRESSING=80|LINEAR SCALE=-0.45|SUN GEAR LIFE=644|INNER GEAR LIFE=644|INVERT SUN GEAR LIFE=192|INVERT INNER GEAR LIFE=192|IP TOOL=6.5.12.3|TOTAL STOP TIME=4.93,,,,C,25.3,25.3,,,,,,,,,,,,,,,1.11,0.49846,1,,,,,2025-07-01 08:10:22,04,,,,000,,,,,,73576a50-9f4d-4aa9-b2b3-aa296c4ba215,HPG1-GO597B,,,,,,,,,,,,,,,,,0,,0,
38D46BDE1ADE0308E063AC19062A0DA6,38D4D010FF190370E063AC19062AAFE1,561S960968,1,1,500,PP,,,e8c3d9ef-095e-4323-89cf-4ea6ef3debe4,GO597B-D,B06FC6AEBE630156E053AC190628FFFA,PP Thickness,B06FC653145C01F4E053AC190628ACED,B97541409F0801F2E053AC190628FF7C,PP THICKNESS DATA SHEET,NUMERICTEXTBOX,82EF3CD56E144DED975478570BBEAC78,PP THICKNESS AFTER,,,PP THICKNESS AFTER,0.4984,,,0.4984,OK,OK,OK,20250701,20250701,LAZER THICKNESS LKG#319,1,DAY,736,DAY,1,1,,,HY20180919,2025-07-01 08:12:15,1PL-3406,FUSO,VII-LSTN-19,172.19.21.139,H30006E1562301-1-1,1,736,805,736,805,48,48,0,,,2025-07-01 08:12:02,SYSTEM,1,HY20180919,PP TH_AF,,2,,PAD LIFE(H)=17|PAD LIFE(M)=24|PAD LIFE(BATCH)=3164|STOP TIME=0020|CR TIME=0005|PAD LOT=P510085|PAD TYPE=NP359|SLURRY LOT=GZ141B|SLURRY TYPE=AR35KTE|SLURRY LIFE=8|FILTER LIFE=162|BRUSH TYPE=2|BRUSH LIFE=17090|BRUSH TIME=700|DRESSER TYPE=PL|DRESSER SET=26|DRESSER LIFE=18460|DRESSER TIME=600|CARRIER IN(B)=135|CARRIER OUT(B)=1962|CARRIER IN SET=E469990AB|CARRIER OUT SET=S451326OA|ETCHING LIFE=44|SLURRY FLOW RATE=2.01|WEIGHT=700|POLISHING PROGRAM=1|SPEED UPPER=19|SPEED SUN=21843|SPEED INTER=7020|RO TEMPERATURE=23.6|RO TEMP DRESSING=23.2|DRESSING PRO=16|WEIGHT DRESSING=80|LINEAR SCALE=-0.45|SUN GEAR LIFE=644|INNER GEAR LIFE=644|INVERT SUN GEAR LIFE=192|INVERT INNER GEAR LIFE=192|IP TOOL=6.5.12.3|TOTAL STOP TIME=4.93,,,,C,25.3,25.3,,b378a718-9191-4300-a197-b1300098acf8,,,0.509,0.508,0.494,0.493,,,0.501,,0.0,,1.11,0.4984,1,,,,,2025-07-01 08:10:22,04,,,,000,,,,,,73576a50-9f4d-4aa9-b2b3-aa296c4ba215,HPG1-GO597B,,,,,0.01,,,,,,,0.0,,0.0,0.0,,0,,0,
38D46BDE1AE10308E063AC19062A0DA6,38D4D010FF190370E063AC19062AAFE1,561S960968,1,1,500,PP,,,e8c3d9ef-095e-4323-89cf-4ea6ef3debe4,GO597B-D,B06FC6AEBE640156E053AC190628FFFA,PP Thickness stock,B06FC653145C01F4E053AC190628ACED,B97541409F0801F2E053AC190628FF7C,PP THICKNESS DATA SHEET,NUMERICTEXTBOX,7B03577373494918AC1AED5BEBE7BE19,PP STOCK REMOVAL,,,PP STOCK REMOVAL,0.028,,,0.028,OK,OK,OK,20250701,20250701,LAZER THICKNESS LKG#319,1,DAY,736,DAY,1,1,,,HY20180919,2025-07-01 08:12:15,1PL-3406,FUSO,VII-LSTN-19,172.19.21.139,H30006E1562301-1-1,1,736,805,736,805,48,48,0,,,2025-07-01 08:12:02,SYSTEM,1,HY20180919,PP THSR,,3,,PAD LIFE(H)=17|PAD LIFE(M)=24|PAD LIFE(BATCH)=3164|STOP TIME=0020|CR TIME=0005|PAD LOT=P510085|PAD TYPE=NP359|SLURRY LOT=GZ141B|SLURRY TYPE=AR35KTE|SLURRY LIFE=8|FILTER LIFE=162|BRUSH TYPE=2|BRUSH LIFE=17090|BRUSH TIME=700|DRESSER TYPE=PL|DRESSER SET=26|DRESSER LIFE=18460|DRESSER TIME=600|CARRIER IN(B)=135|CARRIER OUT(B)=1962|CARRIER IN SET=E469990AB|CARRIER OUT SET=S451326OA|ETCHING LIFE=44|SLURRY FLOW RATE=2.01|WEIGHT=700|POLISHING PROGRAM=1|SPEED UPPER=19|SPEED SUN=21843|SPEED INTER=7020|RO TEMPERATURE=23.6|RO TEMP DRESSING=23.2|DRESSING PRO=16|WEIGHT DRESSING=80|LINEAR SCALE=-0.45|SUN GEAR LIFE=644|INNER GEAR LIFE=644|INVERT SUN GEAR LIFE=192|INVERT INNER GEAR LIFE=192|IP TOOL=6.5.12.3|TOTAL STOP TIME=4.93,,,,C,25.3,25.3,,be5f7067-6cd2-4c94-a304-b307010b4881,0.3,,,,0.02,0.019,,0.0,0.022,,0.0,,1.11,0.028,1,,,,,2025-07-01 08:10:22,04,,,,000,,,,,,73576a50-9f4d-4aa9-b2b3-aa296c4ba215,HPG1-GO597B,,,,,0.01,,,,,,,0.0,,0.0,0.0,,0,,0,
38D46BDE1AE40308E063AC19062A0DA6,38D4D010FF190370E063AC19062AAFE1,561S960968,1,1,500,PP,,,e8c3d9ef-095e-4323-89cf-4ea6ef3debe4,GO597B-D,B9753BACC26D02BCE053AC1906283407,PP Thickness Min Disk,B06FC653145C01F4E053AC190628ACED,B97541409F0801F2E053AC190628FF7C,PP THICKNESS DATA SHEET,NUMERICTEXTBOX,58b8d003-bdd5-4573-a53e-7ed7a5dedb6e,PP THICKNESS MIN DISK,,,PP THICKNESS MIN DISK,0.49842,,,0.49842,OK,OK,OK,20250701,20250701,LAZER THICKNESS LKG#319,1,DAY,736,DAY,1,1,,,HY20180919,2025-07-01 08:12:15,1PL-3406,FUSO,VII-LSTN-19,172.19.21.139,H30006E1562301-1-1,1,736,805,736,805,48,48,0,,,2025-07-01 08:12:02,SYSTEM,1,HY20180919,PP TN Min Disk,,11,,PAD LIFE(H)=17|PAD LIFE(M)=24|PAD LIFE(BATCH)=3164|STOP TIME=0020|CR TIME=0005|PAD LOT=P510085|PAD TYPE=NP359|SLURRY LOT=GZ141B|SLURRY TYPE=AR35KTE|SLURRY LIFE=8|FILTER LIFE=162|BRUSH TYPE=2|BRUSH LIFE=17090|BRUSH TIME=700|DRESSER TYPE=PL|DRESSER SET=26|DRESSER LIFE=18460|DRESSER TIME=600|CARRIER IN(B)=135|CARRIER OUT(B)=1962|CARRIER IN SET=E469990AB|CARRIER OUT SET=S451326OA|ETCHING LIFE=44|SLURRY FLOW RATE=2.01|WEIGHT=700|POLISHING PROGRAM=1|SPEED UPPER=19|SPEED SUN=21843|SPEED INTER=7020|RO TEMPERATURE=23.6|RO TEMP DRESSING=23.2|DRESSING PRO=16|WEIGHT DRESSING=80|LINEAR SCALE=-0.45|SUN GEAR LIFE=644|INNER GEAR LIFE=644|INVERT SUN GEAR LIFE=192|INVERT INNER GEAR LIFE=192|IP TOOL=6.5.12.3|TOTAL STOP TIME=4.93,,,,C,25.3,25.3,,,,,,,,,,,,,,,1.11,0.49842,1,,,,,2025-07-01 08:10:22,04,,,,000,,,,,,73576a50-9f4d-4aa9-b2b3-aa296c4ba215,HPG1-GO597B,,,,,,,,,,,,,,,,,0,,0,
38D46BDE164A0308E063AC19062A0DA6,38D4D010F38E0370E063AC19062AAFE1,568S652367,1,8,600,FP,,,cdce2dd6-9210-4217-b57d-b1e7d26d2a85,GG597B-LIH,F2BF0690ECD301BEE053AC190628EAB2,FP Actual Polishing Rate,1AAA491BFFB6024EE063AC19062A76BF,1AAA491BFFB7024EE063AC19062A76BF,FP ACTUAL POLISHING RATE AND TOTAL TIME DATA SHEET,NUMERICTEXTBOX,F37185FC6A1201C0E053AC190628B008,FP Actual Polishing rate,,,FP Actual Polishing rate,9.00,,,9.00,OK,OK,OK,20250701,20250701,FP,1,DAY,748,DAY,1,1,,,SYSTEM,2025-07-01 08:11:30,2PL-210,HAMAI,,,F24FXJ-138-5,1,748,800,748,800,25,25,0,,,2025-07-01 08:07:11,SYSTEM,1,SYSTEM,FP Actual P.rate,,1,,PAD LIFE(H)=57|PAD LIFE(M)=45|PAD LIFE(BATCH)=472|STOP TIME=0012|PAD LOT=52111C|PAD TYPE=SHO2NSG|SLURRY LOT=469010|SLURRY LIFE=19|FILTER BM01 LIFE=3043|FILTER BM03 LIFE=820|DRESSER SET=B2492121-44-193-98|DRESSER LIFE=1540|CARRIER IN(B)=2481|CARRIER OUT(B)=1561|PO PRO=10|PO TIME TABLE=6|CARRIER IN(TYPE)=EGH10-04T|CARRIER OUT(TYPE)=SUS-H10-045|ETCHING LIFE=2464|SLURRY FLOW RATE=1.569|SLURRY FLOW RATE MAX=1.63|SLURRY FLOW RATE MIN=1.14|WEIGHT=665|PUMP=73|UP_SPEED_MAX=15|LOW_SPEED_MAX=10.9|SUN_SPEED_MAX=10.9|INN_SPEED_MAX=0.9|CR_TIME=0200|CARRIER IN SET=12|RO TEMP DRESS=15.6|WorkerClean=20150097.20240706|POLISHING TIME=700|SLIP CARRIER=55J8S10001|BIG CLEAN=17|SUN GEAR LIFE=391|INNER GEAR LIFE=391|INVERT SUN GEAR LIFE=65|INVERT INNER GEAR LIFE=65|ET CHEM LIFE=1990|ET CREAM LOT=NA|CARRIER LOT=250173-12|CARRIER MC- PILE=PILE-10-VB|CARRIER ROUND=3|MC-PILE PROCESS=3,,,,DAY,3,3,,,,,,,,,,,,,,,,9.00,1,,,,,2025-07-01 08:05:34,02,,,,000,,,,,,b1a1e6e3-16b4-43d0-871c-61abd1c6cd6b,H10-GG597B,,,,,,,,,,,,,,,,B3568S093140,50,3,2,
