id,name,createdAt,deviceId,devEui
649355d0913a49afc9fdbce4,Teltronica 4G Modem 1128176473,2023-06-21T19:56:00.229Z,1128176473,
649358d9913a49afc9fdbd23,Teltronica 4G Modem 1127388807,2023-06-21T20:08:57.855Z,1127388807,
6493597e913a49afc9fdbd59,Teltronica 4G Modem 1128176468,2023-06-21T20:11:42.485Z,1128176468,
64935c1f913a49afc9fdbd8f,Teltronica 4G Modem 1127404042,2023-06-21T20:22:55.231Z,1127404042,
6a01be60f276fbea01de5f4e,Pressac Desk Occupancy Sensor Standard 05a2360f,2026-05-11T11:32:48.393Z,05a2360f,
6a153c1596825c9b96ee9237,Pressac Desk Occupancy Sensor Standard 059f30cd,2026-05-26T06:22:13.212Z,059f30cd,
6a1592a98752ea0872500688,Pressac Desk Occupancy Sensor Standard 059dbc07,2026-05-26T12:31:37.962Z,059dbc07,
6a16de1d329851798aea517f,Pressac EnOcean Repeater Standard 019425rf,2026-05-27T12:05:49.694Z,019425rf,
6a1d5438ab2bcd1aa14cb450,Pressac EnOcean Repeater Standard 01941e7a,2026-06-01T09:43:20.966Z,01941e7a,
6a1d590c329851798af2b8d8,Pressac EnOcean Repeater Standard 01945606,2026-06-01T10:03:56.539Z,1945606,
6a22503e329851798afd1db5,P01,2026-06-05T04:27:42.116Z,059e5b33,
6a2250b2329851798afd1f07,P02,2026-06-05T04:29:38.351Z,059f32de,
6a22513cab2bcd1aa15e2595,P03,2026-06-05T04:31:56.630Z,059f369f,
6a2251a7ab2bcd1aa15e278b,P05,2026-06-05T04:33:43.952Z,059f3023,
6a225203329851798afd2267,P06,2026-06-05T04:35:15.799Z,05a2effd,
6a22524cab2bcd1aa15e2ae6,P07,2026-06-05T04:36:28.430Z,05a23615,
6a22527c329851798afd2337,P08,2026-06-05T04:37:16.978Z,059f120e,
6a2252f0ab2bcd1aa15e2d6a,P09,2026-06-05T04:39:12.166Z,059f30d8,
6a22530e329851798afd25ac,P10,2026-06-05T04:39:42.031Z,059f32ef,
6a225353ab2bcd1aa15e2e3f,P11,2026-06-05T04:40:51.990Z,059f348b,
6a225385329851798afd2779,P12,2026-06-05T04:41:41.463Z,059f34d7,
6a2253cfab2bcd1aa15e30fc,Pressac Desk Occupancy Sensor Standard 059f11fc,2026-06-05T04:42:55.435Z,059f11fc,
6a225428329851798afd2876,P14,2026-06-05T04:44:24.557Z,059f368b,
6a22544bab2bcd1aa15e3365,P15,2026-06-05T04:44:59.030Z,05a23ed7,
6a22549f329851798afd295f,P16,2026-06-05T04:46:23.735Z,059f3516,
6a2254ccab2bcd1aa15e35f3,P17,2026-06-05T04:47:08.249Z,059f3359,
6a225517329851798afd2b53,P18,2026-06-05T04:48:23.389Z,059f368d,
6a225544329851798afd2c6e,P19,2026-06-05T04:49:08.614Z,059f368e,
6a22557dab2bcd1aa15e37d1,P20,2026-06-05T04:50:05.191Z,059f5721,
6a2255fb329851798afd2f32,P22,2026-06-05T04:52:11.282Z,059f1209,
6a225dbaab2bcd1aa15e5313,P04,2026-06-05T05:25:14.816Z,059f34c8,
6a225fc0ab2bcd1aa15e5af7,P78,2026-06-05T05:33:52.724Z,059f30aa,
6a225fef329851798afd4668,P77,2026-06-05T05:34:39.333Z,059f3691,
6a226027329851798afd477b,P76,2026-06-05T05:35:35.317Z,059f30b2,
6a226066ab2bcd1aa15e5d27,P75,2026-06-05T05:36:38.220Z,059f32da,
6a226097329851798afd496a,P74,2026-06-05T05:37:27.890Z,059f1108,
6a2260ccab2bcd1aa15e5f0e,P73,2026-06-05T05:38:20.062Z,05a23f32,
6a2264daab2bcd1aa15e7201,P63,2026-06-05T05:55:38.034Z,05a23c72,
6a226b50329851798afd6e76,P60,2026-06-05T06:23:12.952Z,05a2c049,
6a227655ab2bcd1aa15ecdcb,P72,2026-06-05T07:10:13.581Z,059f30c3,
6a227696329851798afd97ec,P71,2026-06-05T07:11:18.326Z,059f368f,
6a2276c3ab2bcd1aa15ed067,P70,2026-06-05T07:12:03.311Z,059f1224,
6a2276f5329851798afd9a03,P69,2026-06-05T07:12:53.175Z,05a23afa,
6a227733ab2bcd1aa15ed323,P68,2026-06-05T07:13:55.147Z,059f35cb,
6a22776aab2bcd1aa15ed446,P67,2026-06-05T07:14:50.656Z,059f1228,
